publication,author,date,year,month,day,reason,state_arc
ADAM FILM WORLD GUIDE DIRECTORY. 2004.,,2015-06-24 00:00:00,2015,6.0,24,,fl
ADAM LEVINE COLORING BOOK. ,,2019-04-17 00:00:00,2019,4.0,17,,fl
ADAM PRESENTS STARS OF PORN. VOL. 15. NO. 07.,,2018-01-10 00:00:00,2018,1.0,10,,fl
ADAM PRESENTS STARS OF PORN. VOL. 15. NO. 08.,,2018-01-10 00:00:00,2018,1.0,10,,fl
ADBUSTERS. NO. 151.,,2020-09-24 00:00:00,2020,9.0,24,,fl
ADHD FOR DUMMIES. ,,2021-01-14 00:00:00,2021,1.0,14,,fl
ADMINISTERING WINDOWS SERVER 2012 R2: TRAINING GUIDE. ,,2017-10-20 00:00:00,2017,10.0,20,,fl
ADOBE ILLUSTRATOR CS6: CLASSROOM IN A BOOK.,,2013-07-17 00:00:00,2013,7.0,17,,fl
ADRIFT: 76 DAYS LOST AT SEA. ,,2012-06-06 00:00:00,2012,6.0,6,,fl
"ADULT ACTIVITY BOOK (SUDOKU, WORDSEARCH, COLORING AND ETC.)  ",,2018-03-21 00:00:00,2018,3.0,21,,fl
"ADULT ACTIVITY BOOK GAMES, PUZZLES, AND MORE. COPYRIGHT 2019.",,2020-11-05 00:00:00,2020,11.0,5,,fl
ADULT ACTIVITY BOOK THAT WILL TRANSFORM YOUR LIFE. ,,2021-05-06 00:00:00,2021,5.0,6,,fl
ADULT ACTIVITY BOOK YOU NEVER KNEW YOU WANTED BUT CAN'T LIVE WITHOUT. ,,2018-09-12 00:00:00,2018,9.0,12,,fl
"ADULT ACTIVITY BOOK: GAMES, PUZZLES AND MORE.",,2017-09-20 00:00:00,2017,9.0,20,,fl
ADULT COLORING BOOK ANIMALS: NEW AND EXPANDED EDITION. ,,2020-08-13 00:00:00,2020,8.0,13,,fl
ADULT COLORING BOOK FOR GOOD VIBES: LIVE LAUGH LOVE. ,,2021-06-17 00:00:00,2021,6.0,17,,fl
